cost_complexity,tree_depth,min_n,.metric,.estimator,mean,n,std_err,.config
0.1,11,11,accuracy,multiclass,0.4890151515151515,10,0.011803927132040992,Preprocessor1_Model035
0.1,11,11,gain_capture,macro,0.511573998078032,10,0.008866942048003385,Preprocessor1_Model035
0.1,11,11,precision,macro,0.5670950262698684,10,0.012299719140801588,Preprocessor1_Model035
0.1,11,11,recall,macro,0.46851631087258594,10,0.00859876746376464,Preprocessor1_Model035
0.1,11,11,roc_auc,hand_till,0.7595454329388219,10,0.00452802614292548,Preprocessor1_Model035
1e-10,17,11,accuracy,multiclass,0.8226351351351352,10,0.010165757183524908,Preprocessor1_Model036
1e-10,17,11,gain_capture,macro,0.8715822647182899,10,0.009094440797382522,Preprocessor1_Model036
1e-10,17,11,precision,macro,0.8234988573583099,10,0.00939572387261486,Preprocessor1_Model036
1e-10,17,11,recall,macro,0.8235288624736533,10,0.010353661314888591,Preprocessor1_Model036
1e-10,17,11,roc_auc,hand_till,0.9361965845302677,10,0.004537485700230732,Preprocessor1_Model036
1.7782794100389228e-8,17,11,accuracy,multiclass,0.8226351351351352,10,0.010165757183524908,Preprocessor1_Model037
1.7782794100389228e-8,17,11,gain_capture,macro,0.8715822647182899,10,0.009094440797382522,Preprocessor1_Model037
1.7782794100389228e-8,17,11,precision,macro,0.8234988573583099,10,0.00939572387261486,Preprocessor1_Model037
1.7782794100389228e-8,17,11,recall,macro,0.8235288624736533,10,0.010353661314888591,Preprocessor1_Model037
1.7782794100389228e-8,17,11,roc_auc,hand_till,0.9361965845302677,10,0.004537485700230732,Preprocessor1_Model037
3.162277660168379e-6,17,11,accuracy,multiclass,0.8226351351351352,10,0.010165757183524908,Preprocessor1_Model038
3.162277660168379e-6,17,11,gain_capture,macro,0.8715822647182899,10,0.009094440797382522,Preprocessor1_Model038
3.162277660168379e-6,17,11,precision,macro,0.8234988573583099,10,0.00939572387261486,Preprocessor1_Model038
3.162277660168379e-6,17,11,recall,macro,0.8235288624736533,10,0.010353661314888591,Preprocessor1_Model038
3.162277660168379e-6,17,11,roc_auc,hand_till,0.9361965845302677,10,0.004537485700230732,Preprocessor1_Model038
5.623413251903491e-4,17,11,accuracy,multiclass,0.8253298753298753,10,0.010195087525648152,Preprocessor1_Model039
5.623413251903491e-4,17,11,gain_capture,macro,0.8711099214569011,10,0.007994686269883733,Preprocessor1_Model039
5.623413251903491e-4,17,11,precision,macro,0.8260176917926441,10,0.009744865020275634,Preprocessor1_Model039
5.623413251903491e-4,17,11,recall,macro,0.8255271053473472,10,0.010373472684853065,Preprocessor1_Model039
5.623413251903491e-4,17,11,roc_auc,hand_till,0.9359451514462218,10,0.003970799164855966,Preprocessor1_Model039
0.1,17,11,accuracy,multiclass,0.4890151515151515,10,0.011803927132040992,Preprocessor1_Model040
0.1,17,11,gain_capture,macro,0.511573998078032,10,0.008866942048003385,Preprocessor1_Model040
0.1,17,11,precision,macro,0.5670950262698684,10,0.012299719140801588,Preprocessor1_Model040
0.1,17,11,recall,macro,0.46851631087258594,10,0.00859876746376464,Preprocessor1_Model040
0.1,17,11,roc_auc,hand_till,0.7595454329388219,10,0.00452802614292548,Preprocessor1_Model040
1e-10,23,11,accuracy,multiclass,0.8219594594594595,10,0.009897758357029452,Preprocessor1_Model041
1e-10,23,11,gain_capture,macro,0.8704430506503741,10,0.008949080061519451,Preprocessor1_Model041
1e-10,23,11,precision,macro,0.8225959086601401,10,0.009061106419658863,Preprocessor1_Model041
1e-10,23,11,recall,macro,0.8227347931549939,10,0.010086658069214808,Preprocessor1_Model041
1e-10,23,11,roc_auc,hand_till,0.9356296790011154,10,0.004461925518924389,Preprocessor1_Model041
1.7782794100389228e-8,23,11,accuracy,multiclass,0.8219594594594595,10,0.009897758357029452,Preprocessor1_Model042
1.7782794100389228e-8,23,11,gain_capture,macro,0.8704430506503741,10,0.008949080061519451,Preprocessor1_Model042
1.7782794100389228e-8,23,11,precision,macro,0.8225959086601401,10,0.009061106419658863,Preprocessor1_Model042
1.7782794100389228e-8,23,11,recall,macro,0.8227347931549939,10,0.010086658069214808,Preprocessor1_Model042
1.7782794100389228e-8,23,11,roc_auc,hand_till,0.9356296790011154,10,0.004461925518924389,Preprocessor1_Model042
3.162277660168379e-6,23,11,accuracy,multiclass,0.8219594594594595,10,0.009897758357029452,Preprocessor1_Model043
